id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Sonata,Aurora Vale,classical,serene,0.22,68,0.58,0.12,0.97
12,Barrio Solar,Luna Fuego,reggaeton,fiery,0.89,96,0.83,0.91,0.09
13,Dust Trail Radio,Cedar Lane,country,nostalgic,0.51,104,0.63,0.57,0.74
14,Iron Anthem,Black Summit,metal,rebellious,0.95,178,0.34,0.46,0.03
15,Market Street Sunrise,Kofi Ember,afrobeat,celebratory,0.84,112,0.88,0.87,0.21
16,Blue Neon Smoke,Velvet Haze,blues,soulful,0.44,82,0.41,0.38,0.81
17,Glass Tide,Nova Habitat,house,euphoric,0.87,124,0.79,0.93,0.06
18,Pine Needle Letters,Maple Thread,folk,tender,0.33,76,0.67,0.43,0.93
